CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
768805383,Existing Customer,45.0,M,3,High School,Married,$60K - $80K,Blue,39.0,5,1,3,12691.0,777.0,11914.0,1.335,1144.0,42,1.625,0.061
818770008,Existing Customer,49.0,F,5,Graduate,Single,Less than $40K,Blue,44.0,6,1,2,8256.0,864.0,7392.0,1.541,1291.0,33,3.714,0.105
713982108,Existing Customer,51.0,M,3,Graduate,Married,$80K - $120K,Blue,36.0,4,1,0,3418.0,0.0,3418.0,2.594,1887.0,20,2.333,0.0
769911858,Existing Customer,40.0,F,4,High School,Unknown,Less than $40K,Blue,34.0,3,4,1,3313.0,2517.0,796.0,1.405,1171.0,20,2.333,0.76
709106358,Existing Customer,40.0,M,3,Uneducated,Married,$60K - $80K,Blue,21.0,5,1,0,4716.0,0.0,4716.0,2.175,816.0,28,2.5,0.0
713061558,Existing Customer,44.0,M,2,Graduate,Married,$40K - $60K,Blue,36.0,3,1,2,4010.0,1247.0,2763.0,1.376,1088.0,24,0.846,0.311
810347208,Existing Customer,51.0,M,4,Unknown,Married,$120K +,Gold,46.0,6,1,3,34516.0,2264.0,32252.0,1.975,1330.0,31,0.722,0.066
818906208,Existing Customer,32.0,M,0,High School,Unknown,$60K - $80K,Silver,27.0,2,2,2,29081.0,1396.0,27685.0,2.204,1538.0,36,0.714,0.048
710930508,Existing Customer,37.0,M,3,Uneducated,Single,$60K - $80K,Blue,36.0,5,2,0,22352.0,2517.0,19835.0,3.355,1350.0,24,1.182,0.113
719661558,Existing Customer,48.0,M,2,Graduate,Single,$80K - $120K,Blue,36.0,6,3,3,11656.0,1677.0,9979.0,1.524,1441.0,32,0.882,0.144
708790833,Existing Customer,42.0,M,5,Uneducated,Unknown,$120K +,Blue,31.0,5,3,2,6748.0,1467.0,5281.0,0.831,1201.0,42,0.68,0.217
710821833,Existing Customer,65.0,M,1,Unknown,Married,$40K - $60K,Blue,54.0,6,2,3,9095.0,1587.0,7508.0,1.433,1314.0,26,1.364,0.174
710599683,Existing Customer,56.0,M,1,College,Single,$80K - $120K,Blue,36.0,3,6,0,11751.0,0.0,11751.0,3.397,1539.0,17,3.25,0.0
816082233,Existing Customer,35.0,M,3,Graduate,Unknown,$60K - $80K,Blue,30.0,5,1,3,8547.0,1666.0,6881.0,1.163,1311.0,33,2.0,0.195
712396908,Existing Customer,57.0,F,2,Graduate,Married,Less than $40K,Blue,48.0,5,2,2,2436.0,680.0,1756.0,1.19,1570.0,29,0.611,0.279
714885258,Existing Customer,44.0,M,4,Unknown,Unknown,$80K - $120K,Blue,37.0,5,1,2,4234.0,972.0,3262.0,1.707,1348.0,27,1.7,0.23
